wmmVersion|year|height|lat|lon|x|y|z|h|f|i|d|gv|xDot|yDot|zDot
WMM2020|2022.5|73|-72|95|-2661|-13095.2|-55423.4|13362.8|57011.5|-76.44|-101.49||-54.1|12.6|-1.5
WMM2020|2022.5|96|-46|-85|19136.4|6358.2|-21915.4|20165.1|29781.1|-47.38|18.38||-47.6|-47.5|49.9
WMM2020|2022.5|0|-13|-59|21797.3|-6520.6|-5425.9|22751.7|23389.8|-13.41|-16.65||-84.4|-50.8|-156.1
WMM2020|2022.5|16|66|-178|13804.5|463.2|54055.4|13812.2|55792.1|75.67|1.92||3|-80.1|-3.5
WMM2020|2022.5|72|-87|38|7132.3|-15063.2|-48550.5|16666.4|51331.5|-71.05|-64.66||-33.8|-28|58
WMM2020|2023|49|20|167|30099.4|2737.4|15301.2|30223.6|33876.1|26.85|5.2||23.3|7.2|-28.7
WMM2020|2023|71|5|-13|28217.7|-3592.6|-8905.8|28445.5|29807.1|-17.38|-7.26||9.3|89.7|-65.6
WMM2020|2023|95|14|65|36804.1|-356.8|11616|36805.8|38595.3|17.52|-0.56||37.9|22.9|90.4
WMM2020|2023|86|-85|-79|12598|11248|-47331.2|16888.7|50254|-70.36|41.76||25.6|-19.7|75.2
WMM2020|2023|30|-36|-64|17694.8|-1198.1|-14566.5|17735.3|22950.5|-39.4|-3.87||-80.2|-47.9|-28.3
WMM2020|2023|75|79|125|2605.8|-676|57085.9|2692.1|57149.3|87.3|-14.54||-27|-41.5|31.6
WMM2020|2023|21|6|-32|27630.5|-7515|-3646.9|28634.3|28865.6|-7.26|-15.22||11.3|82.5|-174.9
WMM2020|2023|1|-76|-75|16998.9|9958.1|-42873.8|19700.9|47183.6|-65.32|30.36||-3.2|-28.5|88
WMM2020|2023|45|-46|-41|13880.3|-2936.1|-19853|14187.4|24401.3|-54.45|-11.94||-72.5|18.8|-4.5
WMM2020|2023|11|-22|-21|12752.8|-5710.4|-21372.4|13972.9|25534.7|-56.82|-24.12||-77|70.4|-57.8
WMM2020|2023.5|28|54|-120|14556.6|4230.3|52945.6|15158.8|55072.9|74.02|16.2||19.3|-24|-105.1
WMM2020|2023.5|68|-58|156|7015.1|5987.8|-62459.5|9223.1|63136.8|-81.6|40.48||-20.2|38.3|21
WMM2020|2023.5|39|-65|-88|18024|10347.2|-36415.6|20783|41928.8|-60.29|29.86||-20.5|-36.4|88.4
WMM2020|2023.5|27|-23|81|24811|-6176.1|-41759.2|25568.2|48965|-58.52|-13.98||55.4|40.2|-51.8
WMM2020|2023.5|11|34|0|29033.7|545.3|30807|29038.8|42335.9|46.69|1.08||24.9|70.4|26.6
WMM2020|2023.5|72|-62|65|6836.8|-16092.9|-44111.8|17485|47450.8|-68.38|-66.98||-50.3|-19.2|-35.3
WMM2020|2023.5|55|86|70|1168.7|2124.7|55750.6|2424.9|55803.4|87.51|61.19||-59.7|-3.6|34.7
WMM2020|2023.5|59|32|163|28170|176|26318.3|28170.6|38551.7|43.05|0.36||26|-13.8|-0.7
WMM2020|2023.5|65|48|148|23356.8|-3861.2|43968|23673.8|49936.3|61.7|-9.39||10.3|-23.9|31.6
WMM2020|2023.5|95|30|28|29663.3|2331.2|28857.6|29754.7|41450.1|44.12|4.49||8.7|42.8|66.2
WMM2020|2024|95|-60|-59|18099.3|2821.2|-26193.2|18317.9|31962.9|-55.03|8.86||-54.2|-25.1|43.5
WMM2020|2024|95|-70|42|10615.3|-14769.3|-38293.4|18188.3|42393.4|-64.59|-54.29||-37.8|-38.4|15.3
WMM2020|2024|50|87|-154|80.9|-592.4|55904.6|597.9|55907.8|89.39|-82.22||53.7|-47.2|12.8
WMM2020|2024|58|32|19|29331.6|2019.5|30329.8|29401|42241.2|45.89|3.94||13.4|52.8|54.5
WMM2020|2024|57|34|-13|28158.7|-1290.8|29015.5|28188.3|40453.4|45.83|-2.62||37.4|79.9|-8.7
WMM2020|2024|38|-76|49|8218|-16491.7|-44260.7|18425.8|47942.9|-67.4|-63.51||-45.6|-31.5|27.6
WMM2020|2024|49|-50|-179|15431.4|9482.7|-53818.3|18112.2|56784.4|-71.4|31.57||-22.2|34.9|44.3
WMM2020|2024|90|-55|-171|12918.7|10118.6|-53373.5|16409.7|55839.2|-72.91|38.07||-17|34.3|61.5
WMM2020|2024|41|42|-19|24317.3|-2127|36981.3|24410.2|44311.1|56.57|-5||41.4|76.7|-9.2
WMM2020|2024|19|46|-22|22384.7|-2590.4|40713.3|22534|46533.4|61.04|-6.6||42.9|75|-8.5
WMM2020|2024.5|31|13|-132|28046.9|4548.8|17417.2|28413.4|33326.9|31.51|9.21||-58.7|-30.8|27.1
WMM2020|2024.5|93|-2|158|33858.1|4253.5|-10940.3|34124.3|35835.1|-17.78|7.16||-7.4|6.3|-67.8
WMM2020|2024.5|51|-76|40|10459.6|-15294.7|-42141.5|18529.2|46035.2|-66.27|-55.63||-38.3|-35.4|33.4
WMM2020|2024.5|64|22|-132|25808.9|4792.5|25239.1|26250.1|36415.3|43.88|10.52||-62.6|-34.5|-9.5
WMM2020|2024.5|26|-65|55|8607.6|-16603.5|-41366|18702.1|45397.3|-65.67|-62.6||-49.7|-34|-15.7
WMM2020|2024.5|66|-21|32|15510.7|-3677.9|-24502.7|15940.8|29231.7|-56.95|-13.34||37.2|-41.5|32.1
WMM2020|2024.5|18|9|-172|30615.4|5065.5|8768.5|31031.6|32246.7|15.78|9.39||-17.9|31.4|12.7
WMM2020|2024.5|63|88|26|2189.6|1254.6|55156.1|2523.6|55213.8|87.38|29.81||-48.3|42.1|29.2
WMM2020|2024.5|33|17|5|34060.9|362.9|8230.6|34062.9|35043.1|13.58|0.61||18.9|65.9|9.6
WMM2020|2024.5|77|-18|138|31722|2569.6|-34986.2|31825.9|47296.1|-47.71|4.63||-9|-27.7|-26.8
WMM2025|2025|0|80|0|6521.6|145.9|54791.5|6523.2|55178.5|83.21|1.28|1.28|-8.3|59.5|31.1
WMM2025|2025|0|0|120|39677.8|-109.6|-10580.2|39677.9|41064.3|-14.93|-0.16||9.5|-23.1|79.4
WMM2025|2025|0|-80|240|6117.5|15751.9|-52022.5|16898.1|54698.2|-72|68.78|-51.22|33.3|-8.6|95.5
WMM2025|2025|100|80|0|6216|92.4|52598.8|6216.7|52964.9|83.26|0.85|0.85|-7.7|56.5|28.7
WMM2025|2025|100|0|120|37688.6|-96.2|-10152.1|37688.7|39032.1|-15.08|-0.15||9.2|-21|72.9
WMM2025|2025|100|-80|240|5907.6|14780.3|-49540.7|15917.1|52035|-72.19|68.21|-51.79|30.6|-8|89.2
WMM2025|2027.5|0|80|0|6500.8|294.5|54869.4|6507.5|55253.9|83.24|2.59|2.59|-8.3|59.5|31.1
WMM2025|2027.5|0|0|120|39701.6|-167.4|-10381.8|39702|41036.9|-14.65|-0.24||9.5|-23.1|79.4
WMM2025|2027.5|0|-80|240|6200.7|15730.3|-51783.7|16908.3|54474.2|-71.92|68.49|-51.51|33.3|-8.6|95.5
WMM2025|2027.5|100|80|0|6196.7|233.8|52670.5|6201.1|53034.3|83.29|2.16|2.16|-7.7|56.5|28.7
WMM2025|2027.5|100|0|120|37711.5|-148.7|-9969.8|37711.8|39007.4|-14.81|-0.23||9.2|-21|72.9
WMM2025|2027.5|100|-80|240|5984|14760.1|-49317.7|15927|51825.7|-72.1|67.93|-52.07|30.6|-8|89.2
